combo_id,benchmark,proxy,wl,den,cong,valid,time_s,iters,overlaps,sweep_id
1,ibm01,1.0305,0.09,0.624,1.257,VALID,85.68,689,0,20260421T010544Z
1,ibm02,1.3817,0.113,0.612,1.925,VALID,98.18,660,0,20260421T010544Z
1,ibm03,1.2748,0.116,0.653,1.665,VALID,107.5,672,0,20260421T010544Z
1,ibm04,1.2991,0.102,0.686,1.709,VALID,114.95,602,0,20260421T010544Z
1,ibm06,1.7701,0.111,0.628,2.689,VALID,45.47,695,0,20260421T010544Z
1,ibm07,1.4436,0.094,0.7,2.0,VALID,108.49,626,0,20260421T010544Z
1,ibm08,1.4667,0.097,0.664,2.075,VALID,117.07,645,0,20260421T010544Z
1,ibm09,1.0955,0.077,0.658,1.378,VALID,83.35,670,0,20260421T010544Z
2,ibm01,1.0096,0.087,0.615,1.23,VALID,77.26,708,0,20260421T010544Z
2,ibm02,1.5461,0.119,0.643,2.212,VALID,94.92,599,0,20260421T010544Z
2,ibm03,1.2882,0.114,0.652,1.697,VALID,106.41,652,0,20260421T010544Z
2,ibm04,1.3239,0.105,0.687,1.751,VALID,108.41,594,0,20260421T010544Z
2,ibm06,1.714,0.111,0.647,2.56,VALID,44.35,588,0,20260421T010544Z
2,ibm07,1.4116,0.094,0.684,1.951,VALID,110.34,599,0,20260421T010544Z
2,ibm08,1.4755,0.098,0.679,2.077,VALID,113.67,638,0,20260421T010544Z
2,ibm09,1.1001,0.079,0.662,1.381,VALID,83.44,660,0,20260421T010544Z
3,ibm01,1.0235,0.087,0.623,1.249,VALID,77.27,720,0,20260421T010544Z
3,ibm02,1.5602,0.114,0.653,2.238,VALID,92.95,512,0,20260421T010544Z
3,ibm03,1.2704,0.113,0.676,1.639,VALID,104.76,563,0,20260421T010544Z
3,ibm04,1.3153,0.105,0.677,1.745,VALID,109.17,581,0,20260421T010544Z
3,ibm06,1.7738,0.113,0.66,2.662,VALID,44.76,613,0,20260421T010544Z
3,ibm07,1.4065,0.092,0.728,1.901,VALID,109.17,569,0,20260421T010544Z
3,ibm08,1.4738,0.097,0.667,2.087,VALID,115.34,597,0,20260421T010544Z
3,ibm09,1.1245,0.079,0.676,1.416,VALID,84.06,631,0,20260421T010544Z
4,ibm01,1.0121,0.087,0.627,1.222,VALID,75.68,697,0,20260421T010544Z
4,ibm02,1.4731,0.116,0.635,2.079,VALID,93.46,643,0,20260421T010544Z
4,ibm03,1.2669,0.113,0.669,1.638,VALID,106.34,590,0,20260421T010544Z
4,ibm04,1.3096,0.103,0.696,1.718,VALID,107.18,540,0,20260421T010544Z
4,ibm06,1.7928,0.113,0.637,2.723,VALID,45.72,715,0,20260421T010544Z
4,ibm07,1.4176,0.092,0.726,1.925,VALID,111.1,596,0,20260421T010544Z
4,ibm08,1.4898,0.097,0.667,2.119,VALID,115.81,638,0,20260421T010544Z
